HHID,case_id,visit,ea_id,fs_j0a,fs_j04,fs_j05
70,101034140064,2,10103414,,,
78,101034140075,2,10103414,,,
182,102037440006,2,10203744,Hired Labour,,
182,102037440006,2,10203744,Transport,,
182,102037440006,2,10203744,Packaging,,
182,102037440006,2,10203744,Ice,,
182,102037440006,2,10203744,Tax,,
182,102037440006,2,10203744,Other (Specify),,
188,102037440017,2,10203744,Hired Labour,No,
188,102037440017,2,10203744,Transport,No,
188,102037440017,2,10203744,Packaging,No,
188,102037440017,2,10203744,Ice,No,
188,102037440017,2,10203744,Tax,No,
188,102037440017,2,10203744,Other (Specify),No,
170,102037440095,2,10203744,Hired Labour,,
170,102037440095,2,10203744,Transport,,
170,102037440095,2,10203744,Packaging,,
170,102037440095,2,10203744,Ice,,
170,102037440095,2,10203744,Tax,,
170,102037440095,2,10203744,Other (Specify),,
184,102037440112,2,10203744,Hired Labour,,
184,102037440112,2,10203744,Transport,,
184,102037440112,2,10203744,Packaging,,
184,102037440112,2,10203744,Ice,,
184,102037440112,2,10203744,Tax,,
184,102037440112,2,10203744,Other (Specify),,
232,102201030035,2,10220103,Hired Labour,No,
232,102201030035,2,10220103,Transport,No,
232,102201030035,2,10220103,Packaging,No,
232,102201030035,2,10220103,Ice,No,
232,102201030035,2,10220103,Tax,Yes,50
232,102201030035,2,10220103,Other (Specify),No,
248,102201030110,2,10220103,,,
254,102201030125,2,10220103,Hired Labour,No,
254,102201030125,2,10220103,Transport,No,
254,102201030125,2,10220103,Packaging,No,
254,102201030125,2,10220103,Ice,No,
254,102201030125,2,10220103,Tax,No,
254,102201030125,2,10220103,Other (Specify),No,
240,102201030133,2,10220103,Hired Labour,No,
240,102201030133,2,10220103,Transport,No,
240,102201030133,2,10220103,Packaging,No,
240,102201030133,2,10220103,Ice,No,
240,102201030133,2,10220103,Tax,No,
240,102201030133,2,10220103,Other (Specify),No,
236,102201030155,2,10220103,Hired Labour,No,
236,102201030155,2,10220103,Transport,No,
236,102201030155,2,10220103,Packaging,No,
236,102201030155,2,10220103,Ice,No,
236,102201030155,2,10220103,Tax,No,
236,102201030155,2,10220103,Other (Specify),No,
203,102207050206,1,10220705,,,
251,103016630307,1,10301663,,,
273,103020100009,1,10302010,,,
263,103020100028,1,10302010,,,
279,103020100047,1,10302010,,,
291,103040120101,1,10304012,,,
301,103040120129,1,10304012,,,
268,103054460016,2,10305446,,,
266,103054460029,2,10305446,,,
331,103074130190,1,10307413,,,
298,103086360072,2,10308636,,,
314,103086360081,2,10308636,,,
300,103086360090,2,10308636,Hired Labour,No,
300,103086360090,2,10308636,Transport,No,
300,103086360090,2,10308636,Packaging,No,
300,103086360090,2,10308636,Ice,No,
300,103086360090,2,10308636,Tax,No,
300,103086360090,2,10308636,Other (Specify),No,
294,103086360099,2,10308636,Hired Labour,No,
294,103086360099,2,10308636,Transport,No,
294,103086360099,2,10308636,Packaging,No,
294,103086360099,2,10308636,Ice,No,
294,103086360099,2,10308636,Tax,No,
294,103086360099,2,10308636,Other (Specify),No,
316,103086360135,2,10308636,Hired Labour,No,
316,103086360135,2,10308636,Transport,No,
316,103086360135,2,10308636,Packaging,No,
